LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(micron/min),(micron),(min),(micron),(micron),(micron),
ID286890 → ID288235,0,286890,288235,3.8388564994964667,1.5219970263011635,0.9796500012117167,1.9593000024234335,141.0,265.2857939556818,96.77732735620947,0.0,
ID283285 → ID284612,0,283285,284612,0.06751097060688649,1.1369355135987766,0.1299143666101699,0.2598287332203398,131.0,263.3268163706538,96.16213385787026,0.0,
ID277365 → ID274397,0,277365,274397,0.022037593607764597,0.09800440379974154,0.07422532183790885,0.1484506436758177,53.0,263.52048226409636,99.430507068135,0.0,
ID274397 → ID275682,0,274397,275682,0.08153432581502654,0.9905516420719769,0.1427710805932232,0.2855421611864464,55.0,263.44212272579966,99.32421272478794,0.0,
ID277753 → ID279013,0,277753,279013,0.017592954744752736,1.238503196722636,0.0663192180758201,0.1326384361516402,73.0,263.4023524643027,98.38206270604633,0.0,
ID280507 → ID279654,0,280507,279654,0.08793024868712113,0.887837378463031,0.148265175182105,0.29653035036421,91.0,265.0950970403,97.41012244195022,0.0,
ID276351 → ID276469,0,276351,276469,0.47052018061411804,1.5411213185228858,0.3429723679154481,0.6859447358308962,29.0,265.35543105047725,99.85585973740899,0.0,
ID285558 → ID285924,0,285558,285924,0.08418825952348795,0.521105490898193,0.14507606584434246,0.2901521316886849,135.0,262.136857724503,99.17621402996082,0.0,
ID279607 → ID280974,0,279607,280974,1.5154614013506752E-4,0.3399328900121442,0.006155203898634625,0.01231040779726925,77.0,265.37943545161,97.59973961064728,0.0,
ID285924 → ID286340,0,285924,286340,0.001278478327090962,0.03259180611830323,0.017877907645268237,0.03575581529053647,137.0,262.0562516532667,99.31779666470685,0.0,
ID287582 → ID287759,0,287582,287759,0.427862293126641,1.5544408177632207,0.32705591766800407,0.6541118353360081,147.0,263.9098367201089,96.70365551412245,0.0,
